week,week_starting,item,units,unit_price,revenue,unit_cost,gross_margin
2026-W30,2026-07-20,Butter croissant,403,4.25,1712.75,1.12,1261.39
2026-W30,2026-07-20,Almond croissant,186,4.95,920.70,1.41,658.44
2026-W30,2026-07-20,Sourdough loaf,267,8.50,2269.50,2.05,1722.15
2026-W30,2026-07-20,Cinnamon roll,292,4.50,1314.00,1.02,1016.16
2026-W30,2026-07-20,Pumpkin loaf slice,59,3.75,221.25,0.88,169.33
2026-W30,2026-07-20,Pumpkin spice latte,85,5.95,505.75,1.20,403.75
2026-W30,2026-07-20,Drip coffee,831,2.75,2285.25,0.38,1969.47
2026-W30,2026-07-20,Seasonal quiche,140,6.50,910.00,2.10,616.00
2026-W31,2026-07-27,Butter croissant,422,4.25,1793.50,1.12,1320.86
2026-W31,2026-07-27,Almond croissant,190,4.95,940.50,1.41,672.60
2026-W31,2026-07-27,Sourdough loaf,248,8.50,2108.00,2.05,1599.60
2026-W31,2026-07-27,Cinnamon roll,304,4.50,1368.00,1.02,1057.92
2026-W31,2026-07-27,Pumpkin loaf slice,61,3.75,228.75,0.88,175.07
2026-W31,2026-07-27,Pumpkin spice latte,86,5.95,511.70,1.20,408.50
2026-W31,2026-07-27,Drip coffee,806,2.75,2216.50,0.38,1910.22
2026-W31,2026-07-27,Seasonal quiche,136,6.50,884.00,2.10,598.40
2026-W32,2026-08-03,Butter croissant,422,4.25,1793.50,1.12,1320.86
2026-W32,2026-08-03,Almond croissant,197,4.95,975.15,1.41,697.38
2026-W32,2026-08-03,Sourdough loaf,255,8.50,2167.50,2.05,1644.75
2026-W32,2026-08-03,Cinnamon roll,306,4.50,1377.00,1.02,1064.88
2026-W32,2026-08-03,Pumpkin loaf slice,58,3.75,217.50,0.88,166.46
2026-W32,2026-08-03,Pumpkin spice latte,91,5.95,541.45,1.20,432.25
2026-W32,2026-08-03,Drip coffee,851,2.75,2340.25,0.38,2016.87
2026-W32,2026-08-03,Seasonal quiche,140,6.50,910.00,2.10,616.00
2026-W33,2026-08-10,Butter croissant,412,4.25,1751.00,1.12,1289.56
2026-W33,2026-08-10,Almond croissant,188,4.95,930.60,1.41,665.52
2026-W33,2026-08-10,Sourdough loaf,250,8.50,2125.00,2.05,1612.50
2026-W33,2026-08-10,Cinnamon roll,292,4.50,1314.00,1.02,1016.16
2026-W33,2026-08-10,Pumpkin loaf slice,57,3.75,213.75,0.88,163.59
2026-W33,2026-08-10,Pumpkin spice latte,94,5.95,559.30,1.20,446.50
2026-W33,2026-08-10,Drip coffee,820,2.75,2255.00,0.38,1943.40
2026-W33,2026-08-10,Seasonal quiche,143,6.50,929.50,2.10,629.20
2026-W34,2026-08-17,Butter croissant,421,4.25,1789.25,1.12,1317.73
2026-W34,2026-08-17,Almond croissant,198,4.95,980.10,1.41,700.92
2026-W34,2026-08-17,Sourdough loaf,248,8.50,2108.00,2.05,1599.60
2026-W34,2026-08-17,Cinnamon roll,293,4.50,1318.50,1.02,1019.64
2026-W34,2026-08-17,Pumpkin loaf slice,89,3.75,333.75,0.88,255.43
2026-W34,2026-08-17,Pumpkin spice latte,125,5.95,743.75,1.20,593.75
2026-W34,2026-08-17,Drip coffee,815,2.75,2241.25,0.38,1931.55
2026-W34,2026-08-17,Seasonal quiche,140,6.50,910.00,2.10,616.00
2026-W35,2026-08-24,Butter croissant,407,4.25,1729.75,1.12,1273.91
