estimate,ro,customer_id,vehicle,sent_at,amount,approved_at
E-6610,4440,C301,2016 compact sedan,2026-08-31 08:00,241.32,2026-08-31 10:00
E-6611,4441,C308,2019 midsize SUV,2026-08-31 09:13,881.79,2026-08-31 11:17
E-6612,4442,C315,2014 pickup,2026-08-31 10:26,532.90,2026-08-31 12:34
E-6613,4443,C323,2021 hatchback,2026-08-31 08:39,218.41,2026-08-31 10:51
E-6614,4444,C329,2018 minivan,2026-09-01 09:52,881.79,2026-09-01 11:08
E-6615,4445,C336,2017 compact SUV,2026-09-01 10:05,358.40,2026-09-01 12:25
E-6616,4446,C303,2020 sedan,2026-09-01 08:18,536.15,2026-09-01 10:42
E-6617,4447,C310,2015 wagon,2026-09-01 09:31,881.79,2026-09-01 11:59
E-6618,4448,C317,2022 crossover,2026-09-02 10:44,358.40,2026-09-02 12:16
E-6619,4449,C325,2013 pickup,2026-09-02 08:57,536.15,2026-09-02 10:33
E-6620,4450,C331,2016 compact sedan,2026-09-02 09:10,532.90,2026-09-02 11:50
E-6621,4451,C338,2019 midsize SUV,2026-09-02 10:23,324.41,2026-09-02 12:07
E-6622,4452,C305,2014 pickup,2026-09-03 08:36,218.41,2026-09-03 10:24
E-6623,4453,C312,2021 hatchback,2026-09-14 09:49,358.40,2026-09-14 11:41
E-6624,4454,C319,2018 minivan,2026-09-03 10:02,881.79,2026-09-03 12:58
E-6625,4455,C326,2017 compact SUV,2026-09-03 08:15,193.20,2026-09-03 10:15
E-6626,4456,C333,2020 sedan,2026-09-04 09:28,881.79,2026-09-04 11:32
E-6627,4457,C340,2015 wagon,2026-09-04 10:41,324.41,2026-09-04 12:49
E-6628,4458,C307,2022 crossover,2026-09-04 08:54,193.20,2026-09-04 10:06
E-6629,4459,C314,2021 sedan,2026-09-16 09:07,532.90,2026-09-16 11:23
E-6630,4460,C321,2016 compact sedan,2026-09-08 10:20,189.88,2026-09-08 12:40
E-6631,4461,C328,2019 midsize SUV,2026-09-08 08:33,536.15,2026-09-08 10:57
E-6632,4462,C335,2014 pickup,2026-09-16 09:46,265.42,2026-09-16 11:14
E-6633,4463,C302,2021 hatchback,2026-09-08 10:59,536.15,2026-09-08 12:31
E-6634,4464,C309,2018 minivan,2026-09-09 08:12,241.32,2026-09-09 10:48
E-6635,4465,C316,2017 compact SUV,2026-09-11 09:25,312.40,2026-09-11 11:05
E-6636,4466,C323,2020 sedan,2026-09-09 10:38,218.41,2026-09-09 12:22
E-6637,4467,C330,2015 wagon,2026-09-09 08:51,536.15,2026-09-09 10:39
E-6638,4468,C337,2022 crossover,2026-09-10 09:04,189.88,2026-09-10 11:56
E-6639,4469,C304,2013 pickup,2026-09-10 10:17,241.32,2026-09-10 12:13
E-6640,4470,C311,2017 van,2026-09-17 08:30,324.41,2026-09-17 10:30
E-6641,4471,C318,2018 midsize SUV,2026-09-14 09:43,468.75,2026-09-14 11:47
E-6642,4472,C325,2014 pickup,2026-09-11 10:56,324.41,2026-09-11 12:04
E-6643,4473,C332,2021 hatchback,2026-09-11 08:09,536.15,2026-09-11 10:21
E-6644,4474,C339,2018 minivan,2026-09-11 09:22,536.15,2026-09-11 11:38
E-6645,4475,C306,2017 compact SUV,2026-09-11 10:35,881.79,2026-09-11 12:55
E-6646,4476,C313,2020 sedan,2026-09-17 08:48,189.88,2026-09-17 10:12
E-6647,4477,C320,2015 wagon,2026-09-14 09:01,218.41,2026-09-14 11:29
E-6648,4478,C327,2022 crossover,2026-09-14 10:14,241.32,2026-09-14 12:46
E-6649,4479,C334,2013 pickup,2026-09-14 08:27,241.32,2026-09-14 10:03
E-6650,4480,C301,2016 compact sedan,2026-09-15 09:40,189.88,2026-09-15 11:20
E-6651,4481,C322,2019 pickup,2026-09-14 09:12,1340.00,
E-6652,4482,C315,2014 pickup,2026-09-15 08:06,189.88,2026-09-15 10:54
E-6653,4483,C324,2015 wagon,2026-09-14 15:30,486.20,
E-6654,4484,C329,2018 minivan,2026-09-17 10:32,218.41,2026-09-17 12:28
E-6655,4485,C336,2017 compact SUV,2026-09-16 08:45,189.88,2026-09-16 10:45
E-6656,4486,C303,2020 sedan,2026-09-17 09:58,324.41,2026-09-17 11:02
E-6657,4487,C310,2015 wagon,2026-09-16 10:11,324.41,2026-09-16 12:19
E-6658,4488,C317,2020 sedan,2026-09-17 08:24,522.10,2026-09-17 10:36
E-6659,4489,C325,2014 compact sedan,2026-09-15 10:05,795.00,
E-6660,4490,C331,2016 compact sedan,2026-09-17 10:50,189.88,2026-09-17 12:10
E-6661,4491,C338,2019 midsize SUV,2026-09-17 08:03,265.42,2026-09-17 10:27
E-6662,4492,C305,2022 crossover,2026-09-18 09:16,689.00,2026-09-18 11:44
E-6663,4493,C312,2021 hatchback,2026-09-18 10:29,218.41,2026-09-18 12:01
E-6664,4494,C319,2018 minivan,2026-09-19 08:42,193.20,2026-09-19 10:18
E-6665,4495,C326,2016 compact sedan,2026-09-21 07:45,264.50,
