invoice,ro,date,labor,parts,tax,total
INV-9120,4440,2026-09-01,179.40,58.00,3.92,241.32
INV-9121,4441,2026-09-02,469.20,386.50,26.09,881.79
INV-9122,4442,2026-09-01,303.60,214.80,14.50,532.90
INV-9123,4443,2026-09-02,151.80,62.40,4.21,218.41
INV-9124,4444,2026-09-02,469.20,386.50,26.09,881.79
INV-9125,4445,2026-09-03,220.80,128.90,8.70,358.40
INV-9126,4446,2026-09-02,276.00,243.70,16.45,536.15
INV-9127,4447,2026-09-03,469.20,386.50,26.09,881.79
INV-9128,4448,2026-09-03,220.80,128.90,8.70,358.40
INV-9129,4449,2026-09-04,276.00,243.70,16.45,536.15
INV-9130,4450,2026-09-03,303.60,214.80,14.50,532.90
INV-9131,4451,2026-09-04,248.40,71.20,4.81,324.41
INV-9132,4452,2026-09-04,151.80,62.40,4.21,218.41
INV-9133,4454,2026-09-04,469.20,386.50,26.09,881.79
INV-9134,4455,2026-09-05,193.20,0.00,0.00,193.20
INV-9135,4456,2026-09-05,469.20,386.50,26.09,881.79
INV-9136,4457,2026-09-06,248.40,71.20,4.81,324.41
INV-9137,4458,2026-09-05,193.20,0.00,0.00,193.20
INV-9138,4460,2026-09-09,138.00,48.60,3.28,189.88
INV-9139,4461,2026-09-10,276.00,243.70,16.45,536.15
INV-9140,4463,2026-09-10,276.00,243.70,16.45,536.15
INV-9141,4464,2026-09-10,179.40,58.00,3.92,241.32
INV-9142,4466,2026-09-10,151.80,62.40,4.21,218.41
INV-9143,4467,2026-09-11,276.00,243.70,16.45,536.15
INV-9144,4468,2026-09-11,138.00,48.60,3.28,189.88
INV-9145,4469,2026-09-12,179.40,58.00,3.92,241.32
INV-9146,4472,2026-09-12,248.40,71.20,4.81,324.41
INV-9147,4473,2026-09-13,276.00,243.70,16.45,536.15
INV-9148,4474,2026-09-12,276.00,243.70,16.45,536.15
INV-9149,4475,2026-09-13,469.20,386.50,26.09,881.79
INV-9150,4476,2026-09-18,138.00,48.60,3.28,189.88
INV-9151,4477,2026-09-16,151.80,62.40,4.21,218.41
INV-9152,4478,2026-09-15,179.40,58.00,3.92,241.32
INV-9153,4479,2026-09-16,179.40,58.00,3.92,241.32
INV-9154,4480,2026-09-16,138.00,48.60,3.28,189.88
INV-9155,4482,2026-09-16,138.00,48.60,3.28,189.88
INV-9156,4484,2026-09-18,151.80,62.40,4.21,218.41
INV-9157,4485,2026-09-18,138.00,48.60,3.28,189.88
INV-9158,4486,2026-09-18,248.40,71.20,4.81,324.41
INV-9159,4487,2026-09-18,248.40,71.20,4.81,324.41
INV-9160,4490,2026-09-18,138.00,48.60,3.28,189.88
INV-9161,4491,2026-09-19,69.00,184.00,12.42,265.42
