ro,opened_on,customer_id,vehicle,concern,tech,status,completed_at,closed_on,invoice
4440,2026-08-31,C301,2016 compact sedan,A/C recharge and leak check,Ana Kowalski,Closed,2026-09-01 15:00,2026-09-01,INV-9120
4441,2026-08-31,C308,2019 midsize SUV,Replace front struts,Ben Adeyemi,Closed,2026-09-02 15:11,2026-09-02,INV-9121
4442,2026-08-31,C315,2014 pickup,Front brake pads and rotors,Carl Sorensen,Closed,2026-09-01 15:22,2026-09-01,INV-9122
4443,2026-08-31,C323,2021 hatchback,Replace serpentine belt,Farid Haddad,Closed,2026-09-02 15:33,2026-09-02,INV-9123
4444,2026-09-01,C329,2018 minivan,Replace front struts,Ana Kowalski,Closed,2026-09-02 15:44,2026-09-02,INV-9124
4445,2026-09-01,C336,2017 compact SUV,"Diagnose check engine light, replace O2 sensor",Ben Adeyemi,Closed,2026-09-03 15:55,2026-09-03,INV-9125
4446,2026-09-01,C303,2020 sedan,Replace starter,Carl Sorensen,Closed,2026-09-02 15:06,2026-09-02,INV-9126
4447,2026-09-01,C310,2015 wagon,Replace front struts,Farid Haddad,Closed,2026-09-03 15:17,2026-09-03,INV-9127
4448,2026-09-02,C317,2022 crossover,"Diagnose check engine light, replace O2 sensor",Ana Kowalski,Closed,2026-09-03 15:28,2026-09-03,INV-9128
4449,2026-09-02,C325,2013 pickup,Replace starter,Ben Adeyemi,Closed,2026-09-04 15:39,2026-09-04,INV-9129
4450,2026-09-02,C331,2016 compact sedan,Front brake pads and rotors,Carl Sorensen,Closed,2026-09-03 15:50,2026-09-03,INV-9130
4451,2026-09-02,C338,2019 midsize SUV,Coolant flush and thermostat,Farid Haddad,Closed,2026-09-04 15:01,2026-09-04,INV-9131
4452,2026-09-03,C305,2014 pickup,Replace serpentine belt,Ana Kowalski,Closed,2026-09-04 15:12,2026-09-04,INV-9132
4453,2026-09-14,C312,2021 hatchback,"Diagnose check engine light, replace O2 sensor",Ben Adeyemi,Closed,2026-09-16 15:23,2026-09-16,
4454,2026-09-03,C319,2018 minivan,Replace front struts,Carl Sorensen,Closed,2026-09-04 15:34,2026-09-04,INV-9133
4455,2026-09-03,C326,2017 compact SUV,Tire rotation and alignment,Farid Haddad,Closed,2026-09-05 15:45,2026-09-05,INV-9134
4456,2026-09-04,C333,2020 sedan,Replace front struts,Ana Kowalski,Closed,2026-09-05 15:56,2026-09-05,INV-9135
4457,2026-09-04,C340,2015 wagon,Coolant flush and thermostat,Ben Adeyemi,Closed,2026-09-06 15:07,2026-09-06,INV-9136
4458,2026-09-04,C307,2022 crossover,Tire rotation and alignment,Carl Sorensen,Closed,2026-09-05 15:18,2026-09-05,INV-9137
4459,2026-09-16,C314,2021 sedan,Front brake pads and rotors,Farid Haddad,Complete,2026-09-18 11:20,,
4460,2026-09-08,C321,2016 compact sedan,Oil change and inspection,Ana Kowalski,Closed,2026-09-09 15:40,2026-09-09,INV-9138
4461,2026-09-08,C328,2019 midsize SUV,Replace starter,Ben Adeyemi,Closed,2026-09-10 15:51,2026-09-10,INV-9139
4462,2026-09-16,C335,2014 pickup,Replace battery,Carl Sorensen,Complete,2026-09-18 10:50,,
4463,2026-09-08,C302,2021 hatchback,Replace starter,Farid Haddad,Closed,2026-09-10 15:13,2026-09-10,INV-9140
4464,2026-09-09,C309,2018 minivan,A/C recharge and leak check,Ana Kowalski,Closed,2026-09-10 15:24,2026-09-10,INV-9141
