sku,wine,case_size,case_price,break_cases,price_at_break
TW-201,Prosecco NV,12,138.00,,
TW-202,Vinho Verde 2025,12,96.00,5,90.00
TW-203,Chianti Classico 2022,12,168.00,,
TW-204,Montepulciano d'Abruzzo 2023,12,108.00,5,102.00
TW-205,"Pinot Grigio, Alto Adige 2024",12,150.00,,
TW-206,Nero d'Avola 2023,12,120.00,,
TW-207,"Garnacha, Calatayud 2023",12,102.00,,
TW-208,"Verdejo, Rueda 2024",12,114.00,,
TW-209,Douro Red 2022,12,144.00,,
TW-210,Lambrusco NV,12,126.00,,
TW-211,"Primitivo, Puglia 2023",12,132.00,,
TW-212,Txakoli 2024,12,168.00,,
