date,distributor,invoice,line,sku,cases_counted,counted_by,note
2026-06-23,Fall Line,30262,1,FL-101,2,Owen,
2026-06-23,Fall Line,30262,2,FL-113,1,Owen,
2026-06-23,Fall Line,30262,3,FL-102,1,Owen,
2026-06-23,Fall Line,30262,4,FL-116,3,Owen,
2026-06-23,Fall Line,30262,5,FL-114,1,Owen,
2026-06-23,Fall Line,30262,6,FL-108,1,Owen,
2026-06-25,Tidewater,7654,1,TW-204,5,Nadia,
2026-06-25,Tidewater,7654,2,TW-206,1,Nadia,
2026-06-25,Tidewater,7654,3,TW-203,3,Nadia,
2026-06-25,Tidewater,7654,4,TW-209,3,Nadia,
2026-06-25,Tidewater,7654,5,TW-202,1,Nadia,
2026-06-25,Tidewater,7654,6,TW-205,2,Nadia,
2026-06-25,Tidewater,7654,7,TW-207,3,Nadia,
2026-06-30,Fall Line,30279,1,FL-107,3,Owen,
2026-06-30,Fall Line,30279,2,FL-110,3,Owen,
2026-06-30,Fall Line,30279,3,FL-111,3,Owen,
2026-06-30,Fall Line,30279,4,FL-104,2,Owen,
2026-06-30,Fall Line,30279,5,FL-109,3,Owen,
2026-06-30,Fall Line,30279,6,FL-114,1,Owen,
2026-07-07,Fall Line,30294,1,FL-107,1,Owen,
2026-07-07,Fall Line,30294,2,FL-105,1,Owen,
2026-07-07,Fall Line,30294,3,FL-110,2,Owen,
2026-07-07,Fall Line,30294,4,FL-106,2,Owen,
2026-07-07,Fall Line,30294,5,FL-113,2,Owen,
2026-07-07,Fall Line,30294,6,FL-114,2,Owen,
2026-07-07,Fall Line,30294,7,FL-115,2,Owen,
2026-07-09,Tidewater,7671,1,TW-201,2,Nadia,
2026-07-09,Tidewater,7671,2,TW-203,3,Nadia,
2026-07-09,Tidewater,7671,3,TW-208,3,Nadia,
2026-07-09,Tidewater,7671,4,TW-212,2,Nadia,
2026-07-09,Tidewater,7671,5,TW-202,2,Nadia,
2026-07-09,Tidewater,7671,6,TW-205,1,Nadia,
2026-07-09,Tidewater,7671,7,TW-211,2,Nadia,
2026-07-14,Fall Line,30311,1,FL-109,5,Owen,
2026-07-14,Fall Line,30311,2,FL-103,2,Owen,
2026-07-14,Fall Line,30311,3,FL-108,3,Owen,
2026-07-14,Fall Line,30311,4,FL-115,3,Owen,
2026-07-14,Fall Line,30311,5,FL-112,1,Owen,
2026-07-21,Fall Line,30327,1,FL-108,2,Owen,
2026-07-21,Fall Line,30327,2,FL-111,2,Owen,
2026-07-21,Fall Line,30327,3,FL-114,1,Owen,
2026-07-21,Fall Line,30327,4,FL-116,2,Owen,
2026-07-21,Fall Line,30327,5,FL-104,1,Owen,
2026-07-23,Tidewater,7699,1,TW-202,6,Nadia,
2026-07-23,Tidewater,7699,2,TW-210,1,Nadia,
2026-07-23,Tidewater,7699,3,TW-201,2,Nadia,
2026-07-23,Tidewater,7699,4,TW-209,1,Nadia,
2026-07-23,Tidewater,7699,5,TW-205,3,Nadia,
2026-07-28,Fall Line,30342,1,FL-105,2,Owen,
2026-07-28,Fall Line,30342,2,FL-108,1,Owen,
2026-07-28,Fall Line,30342,3,FL-101,3,Owen,
2026-07-28,Fall Line,30342,4,FL-102,1,Owen,
2026-07-28,Fall Line,30342,5,FL-112,1,Owen,
2026-08-04,Fall Line,30358,1,FL-102,10,Owen,
2026-08-04,Fall Line,30358,2,FL-107,2,Owen,
2026-08-04,Fall Line,30358,3,FL-108,2,Owen,
2026-08-04,Fall Line,30358,4,FL-110,1,Owen,
2026-08-04,Fall Line,30358,5,FL-104,3,Owen,
2026-08-04,Fall Line,30358,6,FL-106,1,Owen,
2026-08-06,Tidewater,7720,1,TW-205,1,Nadia,
2026-08-06,Tidewater,7720,2,TW-201,2,Nadia,
2026-08-06,Tidewater,7720,3,TW-203,1,Nadia,
2026-08-06,Tidewater,7720,4,TW-206,1,Nadia,
2026-08-11,Fall Line,30373,1,FL-114,2,Owen,
2026-08-11,Fall Line,30373,2,FL-107,3,Owen,
2026-08-11,Fall Line,30373,3,FL-112,2,Owen,
2026-08-11,Fall Line,30373,4,FL-106,2,Owen,
2026-08-11,Fall Line,30373,5,FL-113,2,Owen,
2026-08-18,Fall Line,30390,1,FL-116,2,Owen,
2026-08-18,Fall Line,30390,2,FL-111,2,Owen,
2026-08-18,Fall Line,30390,3,FL-106,1,Owen,
2026-08-18,Fall Line,30390,4,FL-114,1,Owen,
2026-08-18,Fall Line,30390,5,FL-112,2,Owen,
2026-08-20,Tidewater,7743,1,TW-203,2,Nadia,"one case smells corked, set aside for return"
2026-08-20,Tidewater,7743,2,TW-205,3,Nadia,
2026-08-20,Tidewater,7743,3,TW-206,1,Nadia,
2026-08-20,Tidewater,7743,4,TW-201,2,Nadia,
2026-08-20,Tidewater,7743,5,TW-210,2,Nadia,
2026-08-25,Fall Line,30418,1,FL-106,2,Owen,
2026-08-25,Fall Line,30418,2,FL-110,1,Owen,
2026-08-25,Fall Line,30418,3,FL-108,1,Owen,
2026-08-25,Fall Line,30418,4,FL-103,4,Owen,driver said the fifth case was on the next truck
2026-08-25,Fall Line,30418,5,FL-116,2,Owen,
2026-09-01,Fall Line,30437,1,FL-104,2,Owen,"2 bottles broken in the case, photo sent to Fall Line"
2026-09-01,Fall Line,30437,2,FL-105,3,Owen,
2026-09-01,Fall Line,30437,3,FL-110,2,Owen,
2026-09-01,Fall Line,30437,4,FL-116,3,Owen,
2026-09-01,Fall Line,30437,5,FL-103,3,Owen,
2026-09-01,Fall Line,30437,6,FL-102,3,Owen,
2026-09-03,Tidewater,7788,1,TW-207,1,Nadia,
2026-09-03,Tidewater,7788,2,TW-211,2,Nadia,
2026-09-03,Tidewater,7788,3,TW-202,5,Nadia,
2026-09-03,Tidewater,7788,4,TW-209,1,Nadia,
2026-09-08,Fall Line,30455,1,FL-102,10,Owen,
2026-09-08,Fall Line,30455,2,FL-101,2,Owen,
2026-09-08,Fall Line,30455,3,FL-113,1,Owen,
2026-09-08,Fall Line,30455,4,FL-114,1,Owen,
2026-09-15,Fall Line,30471,1,FL-102,3,Owen,
2026-09-15,Fall Line,30471,2,FL-103,1,Owen,
2026-09-15,Fall Line,30471,3,FL-107,2,Owen,
2026-09-15,Fall Line,30471,4,FL-111,1,Owen,
2026-09-15,Fall Line,30471,5,FL-115,1,Owen,
2026-09-17,Tidewater,7806,1,TW-205,2,Nadia,
2026-09-17,Tidewater,7806,2,TW-202,3,Nadia,
2026-09-17,Tidewater,7806,3,TW-206,3,Nadia,
2026-09-17,Tidewater,7806,4,TW-209,2,Nadia,
2026-09-17,Tidewater,7806,5,TW-204,3,Nadia,
2026-09-17,Tidewater,7806,6,TW-207,1,Nadia,
2026-09-17,Tidewater,7806,7,TW-201,2,Nadia,
