week,week_starting,sku,wine,bottles,shelf_price,revenue
2026-W30,2026-07-20,FL-101,Sancerre 2024,7,32.00,224.00
2026-W30,2026-07-20,FL-102,"House Malbec, Mendoza 2023",26,16.00,416.00
2026-W30,2026-07-20,FL-103,"Dry Rosé, Provence 2025",18,20.00,360.00
2026-W30,2026-07-20,FL-104,Champagne Brut NV,4,62.00,248.00
2026-W30,2026-07-20,FL-105,"Pinot Noir, Willamette 2023",8,38.00,304.00
2026-W30,2026-07-20,FL-106,"Sauvignon Blanc, Marlborough 2025",20,19.00,380.00
2026-W30,2026-07-20,FL-107,Rioja Crianza 2021,10,22.00,220.00
2026-W30,2026-07-20,FL-108,"Chardonnay, Sonoma 2023",9,28.00,252.00
2026-W30,2026-07-20,FL-109,Côtes du Rhône 2023,23,18.00,414.00
2026-W30,2026-07-20,FL-110,"Albariño, Rías Baixas 2024",10,23.00,230.00
2026-W30,2026-07-20,FL-111,"Cabernet Sauvignon, Paso Robles 2022",9,30.00,270.00
2026-W30,2026-07-20,FL-112,Grüner Veltliner 2024,7,20.00,140.00
2026-W30,2026-07-20,FL-113,Barbera d'Asti 2023,9,21.00,189.00
2026-W30,2026-07-20,FL-114,Crémant de Loire NV,8,26.00,208.00
2026-W30,2026-07-20,FL-115,"Zinfandel, Lodi 2022",8,22.00,176.00
2026-W30,2026-07-20,FL-116,Muscadet 2024,7,16.00,112.00
2026-W30,2026-07-20,TW-201,Prosecco NV,23,18.00,414.00
2026-W30,2026-07-20,TW-202,Vinho Verde 2025,22,13.00,286.00
2026-W30,2026-07-20,TW-203,Chianti Classico 2022,10,24.00,240.00
2026-W30,2026-07-20,TW-204,Montepulciano d'Abruzzo 2023,24,14.00,336.00
2026-W30,2026-07-20,TW-205,"Pinot Grigio, Alto Adige 2024",11,19.00,209.00
2026-W30,2026-07-20,TW-206,Nero d'Avola 2023,9,16.00,144.00
2026-W30,2026-07-20,TW-207,"Garnacha, Calatayud 2023",9,14.00,126.00
2026-W30,2026-07-20,TW-208,"Verdejo, Rueda 2024",10,15.00,150.00
2026-W30,2026-07-20,TW-209,Douro Red 2022,6,19.00,114.00
2026-W30,2026-07-20,TW-210,Lambrusco NV,6,17.00,102.00
2026-W30,2026-07-20,TW-211,"Primitivo, Puglia 2023",11,18.00,198.00
2026-W30,2026-07-20,TW-212,Txakoli 2024,5,24.00,120.00
2026-W31,2026-07-27,FL-101,Sancerre 2024,8,32.00,256.00
2026-W31,2026-07-27,FL-102,"House Malbec, Mendoza 2023",28,16.00,448.00
2026-W31,2026-07-27,FL-103,"Dry Rosé, Provence 2025",20,20.00,400.00
2026-W31,2026-07-27,FL-104,Champagne Brut NV,6,62.00,372.00
