sheet,part,width_in,length_in,qty,sq_ft,remake
S1,"Vanity back, left bank",24,48,2,16.0,
S1,"Drawer bottoms, large",24,24,2,8.0,
S1,"Drawer bottoms, small",12,36,2,6.0,
S2,"Vanity back, right bank",24,48,1,8.0,
S2,"Drawer bottoms, medium",21,24,3,10.5,
S2,Linen tower back panels,18,24,2,6.0,
S2,Filler backer,6,24,1,1.0,
S3,Linen tower shelf backers,30,24,2,10.0,
S3,"Drawer bottom, medium",21,24,1,3.5,
S3,"Drawer bottom, large",24,24,1,4.0,
S3,Toe kick backer,18,24,1,3.0,
S4,Sink base back (remake),24,48,1,8.0,yes
S4,Sink base false front backer (remake),30,24,1,5.0,yes
S4,Sink base side liners (remake),18,24,2,6.0,yes
