item,description,owner,status,checked_by,closed_on
1,Upper door out of line at the fridge,installer,closed,Ray Dunleavy,2026-09-14
2,Crown gap at the corner,installer,open,,
3,"Drawer box rubs, second from top",installer,open,,
4,Scribe at the window wall,installer,closed,,2026-09-15
5,Touch-up on the island end panel,finisher,closed,June Albright,2026-09-14
6,Sheen mismatch on the pantry door,finisher,open,,
7,Toe kick loose at the sink,installer,closed,Ray Dunleavy,2026-09-14
8,Fill nail holes on the crown,finisher,closed,,2026-09-15
9,Shelf pins missing in the corner cabinet,installer,open,,
10,"Hinge adjustment, sink doors",installer,closed,Ray Dunleavy,2026-09-14
